Number,Model,Company,Price,Rating,No_of_ratings,TotalReviews,RamSize,RomSize,,15228.30579
348,"realme 9 (Stargaze White, 128 GB)",realme,15599,4.4,"20,705","1,568",8 GB,128 GB,,
349,"OPPO K10 (Blue Flame, 128 GB)",OPPO,13990,4.4,"95,135","7,013",6 GB,128 GB,,
350,"APPLE iPhone 14 (Starlight, 256 GB)",APPLE,83990,4.6,981,67,256 GB,Not Known,,
351,"REDMI 10 (Pacific Blue, 128 GB)",REDMI,11999,4.2,"21,630","1,610",6 GB,128 GB,,
352,"MOTOROLA g31 (Baby Blue, 64 GB)",MOTOROLA,9999,4.2,"31,884","3,711",4 GB,64 GB,,
353,"Infinix Note 12 5G (Force Black, 64 GB)",Infinix,12999,4.2,"10,906","1,285",6 GB,64 GB,,
354,"MOTOROLA Edge 30 (Aurora Green, 128 GB)",MOTOROLA,24999,4.1,"3,589",526,8 GB,128 GB,,
355,"Infinix Note 12 (Jewel Blue, 64 GB)",Infinix,9999,4.2,"22,608","2,286",4 GB,64 GB,,
356,"Infinix Note 12 (Force Black, 64 GB)",Infinix,9999,4.2,"22,608","2,286",4 GB,64 GB,,
357,"APPLE iPhone 11 (White, 64 GB)",APPLE,39999,4.6,"1,76,742","10,518",64 GB,Not Known,,
358,"realme C30 (Lake Blue, 32 GB)",realme,6999,4.1,"32,757","2,159",3 GB,32 GB,,
359,"realme C30 (Denim Black, 32 GB)",realme,6999,4.1,"32,757","2,159",3 GB,32 GB,,
360,"Infinix HOT 20 Play (Luna Blue, 64 GB)",Infinix,8199,4.3,505,52,4 GB,64 GB,,
361,"MOTOROLA e40 (Carbon Gray, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
362,"MOTOROLA e40 (Pink Clay, 64 GB)",MOTOROLA,7999,4.1,"56,085","5,600",4 GB,64 GB,,
363,"POCO C31 (Shadow Gray, 64 GB)",POCO,7499,4.3,"1,83,688","11,185",4 GB,64 GB,,
364,"MOTOROLA G32 (Mineral Gray, 64 GB)",MOTOROLA,9999,4.2,"16,249","1,639",4 GB,64 GB,,
365,"REDMI 9i Sport (Carbon Black, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
366,"REDMI 9i Sport (Coral Green, 64 GB)",REDMI,7199,4.3,"2,09,377","12,027",4 GB,64 GB,,
367,"POCO M4 Pro 5G (Cool Blue, 64 GB)",POCO,11999,4.3,"33,258","2,972",4 GB,64 GB,,
368,"realme 9 5G (Stargaze White, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
369,"realme 9 5G (Supersonic Blue, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
370,"realme 9 5G (Meteor Black, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
371,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",MOTOROLA,14999,4.1,"8,567",933,6 GB,128 GB,,
372,"POCO M4 Pro 5G (Cool Blue, 128 GB)",POCO,13999,4.2,"41,124","3,691",6 GB,128 GB,,
373,"MOTOROLA g52 (Metallic White, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
374,"realme 9 5G (Meteor Black, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
375,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",SAMSUNG,13999,4.2,"32,083","2,613",4 GB,128 GB,,
376,"realme 9 5G (Supersonic Blue, 128 GB)",realme,16499,4.4,"44,415","2,930",6 GB,128 GB,,
377,"realme 9 5G (Stargaze White, 64 GB)",realme,14999,4.5,"36,109","2,083",4 GB,64 GB,,
378,"MOTOROLA g52 (Charcoal Grey, 128 GB)",MOTOROLA,12999,4.2,"20,882","2,628",6 GB,128 GB,,
379,"APPLE iPhone 14 (Starlight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
380,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",SAMSUNG,14999,4.3,"1,37,778","11,213",6 GB,128 GB,,
381,"APPLE iPhone 14 (Midnight, 128 GB)",APPLE,73990,4.6,981,67,128 GB,Not Known,,
382,"vivo T1 5G (Starlight Black, 128 GB)",vivo,16990,4.4,"1,57,801","12,539",6 GB,128 GB,,
